BHK,Rent,Size,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,CurrentFloor,TotalFloors,Year
1,5000,600,2,260,4,2,1,1,2,2.0,5.0,2022
2,8500,700,1,240,4,1,1,1,2,4.0,14.0,2022
1,6000,300,2,213,4,1,1,1,2,0.0,3.0,2022
2,10000,1300,2,911,4,1,2,2,2,0.0,1.0,2022
2,4600,400,1,260,4,1,0,1,2,3.0,3.0,2022
2,12000,650,2,200,4,2,2,2,2,0.0,1.0,2022
3,30000,2000,2,260,4,1,1,2,2,0.0,2.0,2022
3,15000,1068,2,231,4,1,1,2,2,0.0,3.0,2022
1,7500,150,2,1758,4,0,1,1,2,1.0,1.0,2022
1,7500,450,1,1400,4,2,0,1,2,2.0,2.0,2022
2,5000,800,1,240,4,2,1,1,2,0.0,1.0,2022
2,15000,1000,2,231,4,2,1,2,2,0.0,2.0,2022
2,11000,900,2,1481,4,1,0,1,2,5.0,5.0,2022
1,7000,600,1,260,4,2,1,1,2,0.0,2.0,2022
2,6000,1200,2,744,4,2,1,1,2,1.0,1.0,2022
2,6000,1200,2,744,4,1,0,2,2,2.0,2.0,2022
2,7000,650,2,99,4,1,1,2,2,0.0,3.0,2022
2,8500,720,1,1850,4,1,1,2,2,4.0,4.0,2022
1,5000,300,1,964,4,2,0,1,2,1.0,3.0,2022
3,30000,1200,1,2045,4,2,1,3,0,0.0,2.0,2022
2,10000,700,1,1795,4,2,1,2,2,7.0,8.0,2022
3,30000,2000,2,1330,4,1,1,2,2,1.0,3.0,2022
1,3500,250,2,204,4,1,1,1,2,0.0,4.0,2022
2,8000,1100,1,1330,4,2,0,1,2,0.0,3.0,2022
1,5000,300,1,964,4,2,1,1,2,0.0,2.0,2022
2,7500,600,2,99,4,1,1,1,2,0.0,2.0,2022
2,6500,800,1,363,4,2,1,1,2,0.0,2.0,2022
1,7500,680,2,817,4,2,1,1,2,1.0,3.0,2022
1,7500,680,2,817,4,2,1,1,2,0.0,2.0,2022
2,16000,850,1,1759,4,1,0,1,0,1.0,4.0,2022
2,16000,850,1,1759,4,1,0,1,0,1.0,2.0,2022
2,6500,700,2,221,4,2,0,1,2,0.0,2.0,2022
3,40000,1500,2,266,4,2,1,2,2,0.0,2.0,2022
2,12500,950,2,1157,4,1,1,2,2,1.0,4.0,2022
2,5500,500,2,200,4,2,1,1,2,0.0,2.0,2022
1,5000,450,1,524,4,1,1,1,2,2.0,4.0,2022
2,6500,700,2,1887,4,2,0,1,2,0.0,2.0,2022
1,8000,500,2,1089,4,2,1,1,2,1.0,2.0,2022
3,14500,1800,2,265,4,1,1,2,2,0.0,2.0,2022
1,8200,500,1,1598,4,1,1,1,2,1.0,3.0,2022
2,15000,480,1,2220,4,0,1,2,2,0.0,3.0,2022
6,20000,1000,2,1887,4,1,1,2,2,1.0,1.0,2022
2,6700,800,2,203,4,0,1,1,2,1.0,2.0,2022
1,10000,435,2,964,4,2,1,1,2,2.0,3.0,2022
2,7000,700,1,525,4,1,1,2,0,0.0,2.0,2022
2,22000,800,2,707,4,0,1,1,0,4.0,4.0,2022
2,6500,450,2,57,4,2,1,1,2,1.0,3.0,2022
2,8500,550,1,965,4,1,1,1,0,2.0,3.0,2022
2,18000,800,1,1758,4,2,0,2,0,0.0,4.0,2022
2,12000,550,1,196,4,1,2,2,2,0.0,2.0,2022
1,9000,600,2,260,4,0,1,1,2,2.0,4.0,2022
1,6000,500,2,1390,4,2,1,1,2,0.0,1.0,2022
2,20000,1000,2,107,4,0,1,2,2,1.0,2.0,2022
1,5000,300,1,525,4,2,1,1,2,1.0,2.0,2022
2,12000,1200,2,327,4,0,1,2,2,1.0,3.0,2022
2,10000,500,1,1598,4,1,1,1,2,3.0,4.0,2022
4,18000,1200,2,194,4,2,2,2,2,1.0,2.0,2022
2,15000,900,1,1759,4,1,1,2,0,1.0,2.0,2022
3,22000,1300,1,1760,4,2,1,3,0,0.0,2.0,2022
4,35000,1600,1,1761,4,2,1,3,0,1.0,5.0,2022
3,21000,1450,2,57,4,2,2,2,2,0.0,1.0,2022
2,25000,1100,2,29,4,0,0,2,0,2.0,2.0,2022
2,180000,950,1,167,4,2,1,2,2,0.0,1.0,2022
1,6000,600,1,1559,4,2,1,1,2,8.0,5.0,2022
2,14000,700,1,1052,4,2,1,2,2,0.0,2.0,2022
3,8000,750,2,1751,4,2,2,1,2,0.0,2.0,2022
2,8000,1000,2,1580,4,2,1,1,2,0.0,1.0,2022
1,6000,220,2,304,4,0,1,1,2,0.0,2.0,2022
1,8000,300,1,1333,4,1,0,1,0,1.0,3.0,2022
1,6000,300,1,2001,4,2,1,1,0,0.0,1.0,2022
1,20000,700,2,1774,4,1,1,1,2,1.0,2.0,2022
3,12000,800,2,1497,4,2,1,2,2,0.0,1.0,2022
3,15000,1600,2,611,4,2,1,2,2,1.0,3.0,2022
2,14000,1000,1,964,4,2,1,2,2,1.0,3.0,2022
1,5000,20,2,458,4,2,1,1,2,2.0,3.0,2022
2,7000,400,1,2169,4,2,1,1,2,0.0,2.0,2022
1,3900,200,2,1855,4,0,1,1,2,2.0,2.0,2022
3,14000,840,1,1294,4,2,0,2,2,1.0,4.0,2022
1,6300,300,1,1762,4,2,1,1,0,1.0,1.0,2022
2,13000,550,1,1762,4,0,1,2,0,1.0,2.0,2022
1,6800,300,1,1762,4,2,1,1,0,1.0,2.0,2022
2,8000,800,2,261,4,2,1,2,2,1.0,1.0,2022
2,10000,740,1,1887,4,2,0,1,2,0.0,6.0,2022
2,18000,1300,2,1780,4,2,1,2,2,1.0,1.0,2022
2,8000,650,2,613,4,1,1,1,2,0.0,1.0,2022
2,8000,490,2,564,4,1,1,1,2,1.0,1.0,2022
1,4700,250,2,900,4,0,1,1,2,2.0,2.0,2022
1,4700,250,2,462,4,0,1,1,2,0.0,1.0,2022
1,4500,450,2,1598,4,2,1,1,2,1.0,2.0,2022
1,6000,300,1,1759,4,1,1,1,2,0.0,1.0,2022
2,16000,750,2,1632,4,2,1,2,2,1.0,3.0,2022
1,4700,250,2,900,4,0,1,1,2,1.0,2.0,2022
2,14000,751,1,196,4,2,0,1,2,3.0,3.0,2022
2,9000,900,1,1089,4,1,0,1,2,0.0,2.0,2022
2,5000,400,1,991,4,1,1,1,2,1.0,3.0,2022
2,17500,1000,1,1758,4,1,1,2,0,0.0,2.0,2022
2,8500,1000,1,1889,4,2,1,1,2,0.0,1.0,2022
3,15000,1500,1,377,4,1,2,2,2,1.0,1.0,2022
2,12500,750,1,1921,4,2,1,2,2,1.0,3.0,2022
1,13000,1200,2,964,4,1,1,1,2,2.0,4.0,2022
2,8000,700,2,1751,4,2,1,1,2,0.0,1.0,2022
2,8000,700,1,612,4,0,1,1,2,4.0,4.0,2022
2,8000,1000,2,405,4,1,1,1,2,0.0,2.0,2022
2,7000,1200,2,1029,4,2,1,2,2,1.0,3.0,2022
2,2200,550,2,262,4,0,1,1,2,2.0,3.0,2022
2,8000,800,1,2114,4,2,0,1,2,0.0,4.0,2022
2,5500,280,2,1383,4,2,0,1,2,1.0,3.0,2022
3,20000,1100,2,1976,4,2,1,3,2,0.0,2.0,2022
2,7000,950,2,900,4,2,1,1,0,0.0,2.0,2022
1,3500,250,2,1527,4,0,1,1,2,1.0,2.0,2022
2,5000,1000,1,725,4,2,0,1,2,0.0,2.0,2022
3,20000,1000,1,1759,4,1,1,2,2,0.0,2.0,2022
2,7000,650,2,755,4,2,1,1,2,0.0,2.0,2022
2,10000,700,2,268,4,2,1,2,2,1.0,2.0,2022
2,7000,700,1,197,4,2,0,1,2,0.0,3.0,2022
3,12000,1000,2,543,4,1,1,2,2,0.0,3.0,2022
2,14500,900,1,1482,4,2,0,2,2,1.0,4.0,2022
1,6000,700,2,2044,4,2,1,1,2,1.0,2.0,2022
2,9500,700,2,817,4,2,1,2,2,1.0,2.0,2022
2,10000,450,1,260,4,1,1,2,2,2.0,1.0,2022
1,3500,120,2,523,4,2,1,1,2,0.0,3.0,2022
2,9000,800,2,1390,4,1,1,2,2,1.0,2.0,2022
3,40000,1220,1,1761,4,2,1,2,2,2.0,3.0,2022
3,16500,1100,2,1278,4,2,1,1,2,0.0,3.0,2022
3,8000,700,1,691,4,2,2,2,2,0.0,3.0,2022
2,12000,800,2,1780,4,0,1,1,2,0.0,3.0,2022
2,6500,670,2,527,4,2,2,1,2,2.0,2.0,2022
4,40000,1300,2,213,4,2,1,3,2,1.0,2.0,2022
1,5000,190,2,198,4,1,1,1,2,0.0,2.0,2022
2,9000,700,2,886,4,1,1,1,2,0.0,2.0,2022
1,7000,240,1,817,4,2,0,1,2,0.0,4.0,2022
2,18000,850,1,261,4,1,2,1,2,2.0,4.0,2022
1,9000,950,2,692,4,2,1,2,2,1.0,2.0,2022
1,5500,450,1,330,4,0,1,1,2,1.0,2.0,2022
2,7500,800,1,325,4,2,0,1,2,0.0,2.0,2022
2,4000,600,1,1404,4,2,1,1,2,1.0,2.0,2022
3,10500,800,1,1969,4,2,0,2,2,2.0,2.0,2022
3,15000,1100,1,1938,4,2,1,2,2,0.0,2.0,2022
2,15000,800,1,197,4,0,1,1,2,0.0,2.0,2022
1,50000,2200,2,945,4,0,1,3,2,2.0,5.0,2022
2,12000,950,1,861,4,2,0,2,2,1.0,1.0,2022
2,11000,550,1,2027,4,2,1,1,2,2.0,3.0,2022
2,12000,1800,1,312,4,2,0,2,2,1.0,1.0,2022
2,8000,1000,2,405,4,0,1,1,2,0.0,2.0,2022
2,18000,600,2,195,4,1,1,2,2,0.0,3.0,2022
2,8000,750,1,2213,4,1,1,2,2,2.0,4.0,2022
2,7000,685,2,525,4,2,1,1,0,2.0,3.0,2022
1,6500,44,1,236,4,0,1,1,2,0.0,1.0,2022
4,13000,1200,1,2009,4,2,1,1,2,0.0,2.0,2022
2,9000,500,1,53,4,2,0,1,2,0.0,2.0,2022
4,10000,1110,1,1579,4,2,1,2,2,2.0,2.0,2022
2,12000,1000,2,817,4,2,1,2,2,1.0,3.0,2022
2,5000,392,2,817,4,2,1,1,2,0.0,2.0,2022
2,6000,700,2,238,4,2,1,1,2,1.0,2.0,2022
1,5200,750,2,991,4,2,1,1,2,2.0,4.0,2022
3,15000,1500,2,313,4,2,2,2,2,1.0,2.0,2022
2,9000,900,2,991,4,2,1,2,2,0.0,1.0,2022
1,24000,710,2,1759,4,0,0,1,0,1.0,1.0,2022
1,5500,400,1,2198,4,2,1,1,2,0.0,3.0,2022
1,10000,700,1,611,4,2,0,1,2,1.0,2.0,2022
2,15000,1000,1,2007,4,1,1,1,2,0.0,2.0,2022
1,4700,250,2,900,4,0,1,1,2,1.0,2.0,2022
1,5000,500,1,249,4,1,1,1,2,0.0,3.0,2022
2,5000,450,1,312,4,1,1,1,2,2.0,2.0,2022
3,15000,1400,2,1938,4,2,1,1,2,1.0,3.0,2022
1,5000,500,1,249,4,1,1,1,2,1.0,1.0,2022
2,6000,700,1,704,4,2,1,1,2,0.0,1.0,2022
3,18000,1200,1,1759,4,1,1,1,2,1.0,3.0,2022
2,8000,450,1,116,4,2,0,1,2,1.0,2.0,2022
1,13000,500,1,1760,4,0,0,1,0,2.0,2.0,2022
2,7500,400,1,2202,4,2,1,1,2,0.0,1.0,2022
3,12000,1000,2,1001,4,2,1,2,2,0.0,1.0,2022
2,11000,750,1,1498,4,2,0,1,2,0.0,1.0,2022
1,6000,450,2,196,4,2,2,1,2,0.0,2.0,2022
3,20000,1000,1,1761,4,2,0,2,0,1.0,2.0,2022
2,7000,500,1,2216,4,2,0,2,2,1.0,1.0,2022
4,30000,1600,1,1761,4,2,0,2,0,0.0,1.0,2022
2,7500,550,1,1367,4,2,0,1,2,0.0,1.0,2022
1,6500,550,2,873,4,2,1,2,2,1.0,2.0,2022
1,3000,200,2,237,4,2,1,1,2,2.0,3.0,2022
2,5200,650,1,1920,4,2,0,1,2,1.0,2.0,2022
2,25000,1000,2,1953,4,0,1,2,2,1.0,1.0,2022
2,12500,680,1,239,4,2,1,2,2,0.0,2.0,2022
2,8500,720,1,1861,4,2,1,2,2,0.0,1.0,2022
2,3500,500,1,1029,4,2,0,1,2,4.0,5.0,2022
2,7000,800,2,1150,4,2,1,1,2,0.0,2.0,2022
1,3000,160,2,1052,4,2,1,1,2,0.0,1.0,2022
2,14000,1200,1,1762,4,2,1,2,0,1.0,2.0,2022
1,18000,700,2,1761,4,0,1,1,2,0.0,4.0,2022
1,3500,1000,2,523,4,1,1,1,2,0.0,1.0,2022
2,16000,1250,2,964,4,2,1,2,0,0.0,1.0,2022
4,35000,1600,2,1758,4,2,1,3,2,0.0,3.0,2022
2,21000,700,2,1084,4,1,1,1,2,0.0,2.0,2022
1,4500,450,2,1861,4,2,1,1,2,0.0,2.0,2022
2,15000,839,2,755,4,1,1,2,2,1.0,3.0,2022
1,4500,230,2,312,4,2,1,1,2,0.0,3.0,2022
1,5500,1800,2,236,4,2,1,1,2,0.0,2.0,2022
2,8500,800,2,198,4,2,1,2,2,1.0,2.0,2022
1,5000,500,1,184,4,1,1,1,2,0.0,1.0,2022
2,8500,620,1,964,4,2,0,1,2,0.0,1.0,2022
2,9000,650,1,2229,4,2,1,1,2,2.0,3.0,2022
1,7500,550,2,1333,4,1,1,1,0,1.0,2.0,2022
2,7000,450,1,2214,4,0,0,2,2,1.0,3.0,2022
3,15000,1350,1,126,4,2,2,2,2,1.0,2.0,2022
2,7000,600,2,1494,4,1,1,2,2,2.0,2.0,2022
3,10000,1200,2,265,4,0,1,1,2,2.0,4.0,2022
2,7000,700,2,698,4,2,1,1,0,1.0,2.0,2022
3,3200,800,1,295,4,0,1,2,2,1.0,3.0,2022
2,6000,600,1,1780,4,1,1,1,2,0.0,3.0,2022
2,12000,900,2,2009,4,2,1,2,2,1.0,3.0,2022
2,6000,750,2,260,4,2,1,1,2,0.0,1.0,2022
3,10000,1250,2,819,4,2,1,2,2,1.0,2.0,2022
3,12000,1000,2,461,4,1,1,3,2,2.0,2.0,2022
2,8000,600,2,755,4,1,1,1,2,0.0,2.0,2022
2,5300,650,1,1884,4,2,1,1,2,1.0,1.0,2022
2,5000,450,1,1106,4,2,0,1,2,2.0,3.0,2022
3,8500,800,2,1365,4,2,1,2,2,0.0,2.0,2022
3,22000,1000,1,1919,4,1,1,2,2,0.0,3.0,2022
2,7000,1000,2,1059,4,2,1,1,2,0.0,3.0,2022
3,25000,1400,1,1758,4,0,0,3,0,5.0,5.0,2022
2,7000,600,1,239,4,1,0,1,2,1.0,4.0,2022
2,15000,723,1,1355,4,0,2,1,2,0.0,3.0,2022
1,6000,320,1,1737,4,2,1,1,2,0.0,2.0,2022
2,8000,900,2,265,4,1,1,1,2,0.0,3.0,2022
3,40000,1400,1,1760,4,0,1,2,0,0.0,2.0,2022
1,6000,2160,2,964,4,1,0,1,2,1.0,2.0,2022
2,15000,650,1,2199,4,1,1,1,2,0.0,2.0,2022
2,6500,800,2,945,4,1,1,1,2,1.0,1.0,2022
3,8000,800,2,231,4,1,1,1,2,2.0,3.0,2022
1,5500,500,1,613,4,2,1,1,2,0.0,2.0,2022
3,9000,1700,2,1483,4,1,1,2,2,1.0,2.0,2022
1,6000,130,1,331,4,1,1,1,2,0.0,2.0,2022
1,15000,505,2,964,4,0,1,1,2,0.0,3.0,2022
4,30000,4000,2,1751,4,0,1,3,0,0.0,3.0,2022
3,30000,1250,2,1381,4,2,1,2,2,0.0,2.0,2022
1,5000,700,1,1305,4,2,1,1,2,0.0,2.0,2022
2,15000,900,2,1494,4,2,0,1,2,0.0,1.0,2022
1,6500,650,2,860,4,1,1,1,2,1.0,1.0,2022
2,4500,750,2,175,4,0,1,1,2,0.0,1.0,2022
2,7000,450,1,1208,4,2,1,1,2,0.0,3.0,2022
1,6500,350,1,483,4,1,1,1,2,1.0,2.0,2022
1,17500,480,1,1600,4,0,0,2,2,1.0,2.0,2022
2,10000,900,2,611,4,2,1,1,2,0.0,3.0,2022
1,1500,200,2,1780,4,1,1,1,2,0.0,2.0,2022
3,25000,1100,2,1673,4,2,1,3,2,2.0,3.0,2022
2,12000,800,1,964,4,2,1,1,2,1.0,2.0,2022
3,7500,1000,1,2223,4,0,1,2,2,0.0,2.0,2022
1,7000,800,1,1058,4,2,1,1,2,1.0,2.0,2022
1,3500,200,2,198,4,1,1,1,2,-1.0,4.0,2022
3,10000,1190,1,1795,4,2,1,2,2,1.0,2.0,2022
2,14000,900,1,1758,4,2,0,2,0,0.0,2.0,2022
2,15000,1500,2,611,4,2,1,2,2,0.0,2.0,2022
2,6500,600,2,1975,4,2,1,1,2,2.0,3.0,2022
3,10000,800,2,333,4,2,1,1,2,0.0,4.0,2022
2,10500,800,1,1780,4,2,2,2,2,1.0,2.0,2022
3,10000,900,1,611,4,1,1,2,2,0.0,3.0,2022
1,5000,350,1,1576,4,1,1,1,2,0.0,3.0,2022
2,9000,800,1,1884,4,2,1,1,2,0.0,2.0,2022
2,20000,1600,1,818,4,2,0,2,2,0.0,3.0,2022
3,35000,1012,1,1759,4,1,1,2,2,2.0,3.0,2022
3,15000,1200,1,1508,4,2,0,2,2,0.0,2.0,2022
2,20000,700,2,1759,4,0,1,1,2,1.0,2.0,2022
2,12000,1000,2,260,4,1,1,1,2,1.0,3.0,2022
2,8000,800,1,1975,4,2,0,1,2,0.0,3.0,2022
1,3000,500,2,703,4,1,1,1,2,0.0,1.0,2022
3,20000,1200,1,698,4,1,0,2,2,0.0,1.0,2022
1,9000,450,1,1760,4,2,0,1,0,0.0,2.0,2022
3,13000,950,1,1602,4,2,1,2,2,0.0,2.0,2022
1,7000,350,1,1762,4,2,1,1,0,0.0,2.0,2022
1,9000,450,1,1762,4,2,1,1,0,0.0,3.0,2022
1,9000,550,1,227,4,1,0,1,2,0.0,2.0,2022
2,10000,300,1,991,4,2,0,1,2,0.0,1.0,2022
3,15000,1250,2,1751,4,1,1,2,2,0.0,3.0,2022
2,7000,700,2,611,4,2,1,1,2,2.0,3.0,2022
3,8000,812,2,743,4,2,1,2,2,0.0,3.0,2022
2,8000,550,2,908,4,2,1,1,2,0.0,2.0,2022
1,5000,500,2,1678,4,1,1,1,2,0.0,1.0,2022
1,14000,320,1,30,4,0,0,1,2,1.0,2.0,2022
2,5000,600,2,108,4,2,1,1,2,0.0,2.0,2022
2,5000,420,1,237,4,2,0,1,2,0.0,2.0,2022
3,12000,1100,2,1601,4,2,0,1,2,0.0,2.0,2022
1,3200,220,2,1884,4,2,1,1,2,3.0,4.0,2022
2,8500,700,1,1419,4,1,1,2,2,0.0,2.0,2022
3,16000,1200,1,202,4,2,1,2,0,0.0,2.0,2022
2,14000,800,1,1781,4,2,1,2,2,0.0,3.0,2022
1,8000,300,1,231,4,0,0,1,0,0.0,1.0,2022
2,7000,650,1,240,4,2,1,1,2,0.0,2.0,2022
1,8000,600,2,611,4,0,1,1,2,1.0,2.0,2022
1,3000,350,2,265,4,2,1,1,2,0.0,3.0,2022
1,3800,500,1,1339,4,2,0,1,2,1.0,3.0,2022
1,6500,400,2,2126,4,2,1,1,2,1.0,1.0,2022
3,20000,1750,2,913,4,1,1,3,2,0.0,3.0,2022
3,30000,1600,2,213,4,2,1,2,2,3.0,3.0,2022
1,8000,300,1,1762,4,1,1,1,0,0.0,2.0,2022
2,14000,1100,2,1939,4,1,1,2,2,1.0,3.0,2022
2,7200,830,2,1884,4,2,1,1,2,0.0,3.0,2022
2,7000,600,1,5,4,1,1,2,2,0.0,2.0,2022
1,7000,500,2,236,4,2,0,2,2,1.0,2.0,2022
2,7500,900,1,523,4,2,1,1,2,1.0,2.0,2022
2,8500,1250,1,237,4,2,2,2,2,0.0,1.0,2022
2,12000,700,1,1760,4,2,0,1,0,0.0,2.0,2022
1,8500,850,1,458,4,2,0,2,2,0.0,1.0,2022
2,9500,550,1,613,4,2,1,1,2,0.0,1.0,2022
2,7500,550,1,1389,4,0,1,2,2,0.0,1.0,2022
2,12000,1200,2,702,4,2,1,1,2,0.0,1.0,2022
3,20000,1100,1,1760,4,2,0,2,0,0.0,1.0,2022
2,8500,650,2,755,4,1,1,1,2,0.0,1.0,2022
3,20000,1050,1,1760,4,2,0,2,0,0.0,1.0,2022
2,6000,960,2,522,4,1,1,2,2,0.0,2.0,2022
2,5500,650,1,860,4,2,1,2,2,1.0,1.0,2022
1,7000,550,2,964,4,1,1,1,2,0.0,2.0,2022
2,7000,500,2,525,4,1,1,2,2,0.0,1.0,2022
1,6500,450,2,200,4,2,2,1,2,3.0,4.0,2022
2,10000,850,2,45,4,2,0,2,2,1.0,2.0,2022
1,5200,300,1,522,4,2,1,1,0,0.0,3.0,2022
2,13000,1000,1,1311,4,1,1,3,2,1.0,2.0,2022
2,7000,500,1,611,4,2,1,1,2,1.0,3.0,2022
2,12000,756,1,463,4,1,1,1,2,0.0,3.0,2022
1,15000,1000,2,239,4,2,1,1,2,2.0,3.0,2022
1,5000,150,1,107,4,2,1,1,2,1.0,2.0,2022
1,8000,800,1,1402,4,2,0,1,2,0.0,2.0,2022
2,8000,700,2,597,4,2,0,2,0,2.0,3.0,2022
1,5000,420,2,562,4,2,0,1,2,3.0,3.0,2022
2,10000,800,2,597,4,2,0,1,0,0.0,1.0,2022
2,12000,288,1,964,4,2,0,1,2,2.0,3.0,2022
2,8000,900,2,1969,4,2,1,2,2,0.0,1.0,2022
2,21000,850,1,1760,4,2,0,2,0,1.0,1.0,2022
1,5000,350,1,1975,4,2,0,1,2,1.0,1.0,2022
2,9000,600,2,196,4,2,1,1,2,0.0,2.0,2022
2,8000,1600,1,922,4,1,0,1,2,0.0,2.0,2022
2,7000,986,1,1553,4,2,0,1,2,2.0,3.0,2022
3,35000,1330,1,1760,4,2,0,2,0,1.0,3.0,2022
3,15000,1300,2,1089,4,1,1,2,2,0.0,3.0,2022
2,6200,800,1,992,4,2,0,1,2,0.0,2.0,2022
2,9900,800,1,305,4,2,1,1,2,1.0,4.0,2022
2,7000,850,2,236,4,2,0,1,2,0.0,3.0,2022
1,5000,322,1,525,4,2,1,1,0,1.0,3.0,2022
2,6500,800,1,45,4,0,1,1,2,0.0,2.0,2022
4,40000,1500,1,1759,4,2,0,2,0,0.0,2.0,2022
3,40000,3500,2,1758,4,1,1,2,2,1.0,2.0,2022
2,12000,957,1,465,4,0,0,2,2,1.0,2.0,2022
1,6500,850,1,204,4,2,0,1,2,1.0,3.0,2022
2,10000,900,1,312,4,2,0,2,2,0.0,2.0,2022
2,15000,600,2,45,4,1,1,1,2,0.0,2.0,2022
1,5000,350,1,45,4,1,1,1,2,0.0,5.0,2022
2,7000,800,2,1975,4,2,1,1,2,0.0,2.0,2022
2,6000,320,1,201,4,2,1,1,2,1.0,2.0,2022
3,15000,800,1,873,4,2,1,1,2,0.0,4.0,2022
2,10000,700,1,196,4,1,0,2,2,1.0,1.0,2022
2,22000,1200,2,1759,4,1,1,2,0,1.0,2.0,2022
2,8500,750,1,1652,4,1,1,1,2,1.0,2.0,2022
3,35000,1200,2,1759,4,1,1,3,0,0.0,3.0,2022
2,7000,450,1,597,4,2,1,1,2,0.0,4.0,2022
3,8500,1430,2,198,4,1,1,1,2,0.0,2.0,2022
2,6000,450,2,525,4,2,1,1,0,1.0,3.0,2022
4,35000,800,2,260,4,1,1,3,2,0.0,1.0,2022
1,6000,400,2,1975,4,2,1,1,2,1.0,2.0,2022
2,8000,650,2,613,4,2,1,1,2,1.0,2.0,2022
1,5000,450,1,574,4,2,1,1,2,1.0,2.0,2022
2,6000,600,2,263,4,2,1,1,2,0.0,4.0,2022
3,15000,1200,1,1089,4,2,2,2,2,1.0,3.0,2022
2,9000,700,1,197,4,2,0,1,2,3.0,3.0,2022
1,5000,300,1,239,4,2,0,1,0,0.0,1.0,2022
3,8000,1200,2,1655,4,2,1,3,2,1.0,4.0,2022
3,35000,1300,1,1760,4,2,0,2,0,0.0,1.0,2022
1,5500,400,2,1856,4,2,1,1,0,0.0,1.0,2022
3,35000,1320,1,1759,4,2,0,2,0,0.0,2.0,2022
2,11000,1000,2,108,4,0,1,2,2,0.0,1.0,2022
2,10000,700,1,1787,4,2,0,1,2,1.0,2.0,2022
2,6500,800,1,2202,4,2,1,2,2,0.0,2.0,2022
2,6000,900,2,197,4,0,1,1,2,0.0,3.0,2022
3,36125,1700,2,1758,4,2,1,2,2,0.0,2.0,2022
2,6800,600,1,1577,4,2,0,1,2,0.0,2.0,2022
2,8500,850,1,237,4,2,2,2,2,1.0,2.0,2022
2,5000,550,1,312,4,2,0,1,2,1.0,3.0,2022
1,6500,650,1,613,4,0,1,1,2,0.0,2.0,2022
1,6500,800,1,1782,4,2,1,1,2,0.0,1.0,2022
2,4500,475,2,312,4,2,1,1,2,0.0,2.0,2022
1,6000,200,1,1762,4,2,1,1,0,0.0,1.0,2022
1,10000,400,1,1762,4,2,1,1,0,0.0,2.0,2022
1,12000,500,2,1155,4,0,1,1,0,0.0,2.0,2022
